;地图 		X坐标 	Y坐标 	怪物名称 		范围 	数量 	刷怪间隔 	集中座标刷怪几率 	是否死后过了间隔才刷(0,1) 	怪物新名字 	宠物等级

;落霞岛------------------------------------------------------------------------落霞岛

1		200	300	兔			30	150	3
1		250	245	兔			110	100	3
1		250	245	鹿			110	400	3
1		250	245	树			200	30	20

1		430	355	蟒			55	70	6
1		430	355	食人花			55	40	6
1		430	355	巨猿1			30	1	20
1		430	355	刀犬			90	120	4
1		430	355	棍犬			90	120	4
1		430	355	刀犬1			90	7	4
1		430	355	棍犬1			90	7	4

1		80	230	鱼人			70	100	5
1		80	230	刀犬			70	70	4
1		80	230	棍犬			70	70	4
1		80	230	癞蛤蟆			70	50	4
1		80	230	稻草人			70	70	4
1		80	230	鱼人1			70	4	5
1		80	230	刀犬1			70	2	4
1		80	230	棍犬1			70	2	4
1		80	230	稻草人1			70	2	4

1		244	65	刀犬			40	60	4
1		244	65	棍犬			40	60	4
1		244	65	稻草人			40	60	4
1		244	65	刀犬1			40	4	4
1		244	65	棍犬1			40	4	4
1		244	65	稻草人1			40	4	4

1		170	120	鱼人			50	80	5
1		170	120	棍犬			50	70	4
1		170	120	刀犬			50	70	4
1		170	120	稻草人			50	50	4
1		170	120	鱼人1			50	5	5
1		170	120	棍犬1			50	4	4
1		170	120	刀犬1			50	4	4
1		170	120	稻草人1			50	3	4

1		400	415	蟒			40	60	6
1		400	415	毒蜘蛛			40	20	7
1		400	415	巨猿			40	1	20
1		400	415	蟒1			40	4	6

1		372	473	癞蛤蟆			30	40	4
1		372	473	鱼人			30	30	5
1		372	473	鱼人1			30	2	5

1		133	381	鱼人			50	50	5
1		133	381	蟒			50	50	5
1		133	381	稻草人			50	50	4
1		133	381	鱼人1			50	3	6
1		133	381	蟒1			50	3	5
1		133	381	稻草人1			50	3	5

1		227	354	棍犬			30	100	4
1		259	403	鱼人			50	50	4
1		259	403	稻草人			50	50	4
1		259	403	刀犬			50	50	4
1		259	403	棍犬			50	50	4
1		259	403	鱼人1			50	3	5
1		259	403	稻草人1			50	3	4
1		259	403	刀犬1			50	3	4
1		259	403	棍犬1			50	3	4

1		333	69	蟒			60	40	5
1		333	69	稻草人			60	40	4
1		333	69	毒蜘蛛			30	30	6
1		333	69	蟒1			60	2	5
1		333	69	稻草人1			60	2	4


;矿区入口
T011		75	81	洞蛆			75	30	10
T011		75	81	僵尸2			75	50	3
T011		75	81	僵尸3			75	50	3
T011		75	81	僵尸20			75	2	10
T011		75	81	僵尸30			75	2	10
T011		75	81	黄金怪物1		10	1	60

T012		53	50	洞蛆			50	10	8
T012		53	50	僵尸2			50	70	8
T012		53	50	僵尸3			50	30	8
T012		53	50	僵尸20			50	2	16
T012		53	50	僵尸30			50	2	16

T013		50	45	洞蛆			50	10	8
T013		50	45	僵尸2			50	40	8
T013		50	45	僵尸3			50	60	8
T013		50	45	僵尸20			50	2	16
T013		50	45	僵尸30			50	2	16

T014		39	48	僵尸1			30	10	9
T014		39	48	僵尸4			50	20	8
T014		39	48	僵尸3			50	30	8
T014		77	87	僵尸10			30	1	18
T014		77	87	僵尸40			50	1	16
T014		77	87	僵尸30			50	2	16

T015		108	107	僵尸1			70	70	9
T015		108	107	僵尸4			100	100	8
T015		108	107	僵尸5			100	100	8
T015		108	107	骷髅			100	30	10
T015		108	107	尸王1			100	2	30
T015		108	107	僵尸10			70	2	18
T015		108	107	僵尸40			100	3	16
T015		108	107	僵尸50			100	3	16
T015		108	107	骷髅1			100	1	20
T015		108	107	尸王2			100	1	60

T016		77	76	僵尸1			55	30	9
T016		77	76	僵尸5			75	80	8
T016		77	76	僵尸3			75	60	8
T016		77	76	骷髅			75	10	10
T016		77	76	尸王1			75	1	60
T016		77	76	僵尸10			55	1	18
T016		77	76	僵尸50			75	3	16
T016		77	76	僵尸30			75	2	16
T016		77	76	骷髅1			75	1	20

T017		73	70	僵尸1			65	20	9
T017		73	70	僵尸2			75	60	8
T017		73	70	僵尸3			75	40	8
T017		73	70	僵尸10			65	1	18
T017		73	70	僵尸20			75	2	16
T017		73	70	僵尸30			75	2	16

T018		77	87	僵尸1			65	20	9
T018		77	87	僵尸2			75	40	8
T018		77	87	僵尸3			75	60	8
T018		77	87	僵尸10			65	1	18
T018		77	87	僵尸20			75	2	16
T018		77	87	僵尸30			75	2	16

T019		74	73	僵尸1			55	10	9
T019		74	73	僵尸4			75	80	8
T019		74	73	僵尸3			75	80	8
T019		74	73	骷髅			75	10	10
T019		74	73	尸王1			75	1	60
T019		74	73	僵尸10			55	1	18
T019		74	73	僵尸40			75	3	16
T019		74	73	僵尸30			75	3	16
T019		74	73	骷髅1			75	1	20

T020		42	51	僵尸4			50	10	9
T020		42	51	僵尸2			50	20	8
T020		42	51	僵尸3			50	30	8
T020		42	51	僵尸40			50	1	18
T020		42	51	僵尸20			50	1	16
T020		42	51	僵尸30			50	2	16

T021		42	51	僵尸1			30	10	7
T021		42	51	僵尸4			50	20	8
T021		42	51	僵尸5			50	20	9
T021		42	51	骷髅			50	10	9
T021		42	51	僵尸10			30	1	14
T021		42	51	僵尸40			50	1	16
T021		42	51	僵尸50			50	1	18
T021		42	51	骷髅1			50	1	18

T022		50	57	僵尸5			50	20	8
T022		50	57	僵尸3			50	30	8
T022		50	57	僵尸2			50	30	8
T022		50	57	僵尸50			50	1	16
T022		50	57	僵尸30			50	2	16
T022		50	57	僵尸20			50	2	16

L004		95	66	僵尸11			35	50	5
L004		95	66	僵尸101			35	1	8
L004		95	66	僵尸21			35	50	5
L004		95	66	僵尸201			35	1	8
L004		95	66	骷髅2			35	50	5
L004		95	66	骷髅3			35	1	8
L004		53	87	僵尸11			25	20	6
L004		53	87	僵尸101			25	1	20
L004		53	87	僵尸21			25	20	6
L004		53	87	僵尸201			25	1	20
L004		53	87	骷髅2			25	20	6
L004		53	87	骷髅3			25	1	20
L004		53	87	尸王3			15	30	40
L004		53	87	尸王4			15	5	60
L004		53	87	尸王5			5	1	120

;中州大地图

0		439	629	猪			60	100	3
0		439	629	癞蛤蟆			40	50	3
0		305	635	刀犬			50	50	4
0		305	635	棍犬			50	50	4
0		305	635	鱼人			50	50	5
0		305	635	刀犬1			50	2	4
0		305	635	棍犬1			50	2	4
0		305	635	鱼人1			50	2	5
0		478	318	猪			75	40	3
0		478	338	癞蛤蟆			55	30	3
0		478	318	刀犬			25	1	4
0		380	217	猪			80	40	3
0		358	205	癞蛤蟆			60	30	3
