嗎|0|0|0|1|90|60|20|40|2|2|1|1|100000
嗎|0|1|0|2|90|90|30|60|3|3|2|1|100000
嗎|0|2|0|3|85|120|40|80|4|4|2|1|100000
嗎|0|3|0|4|85|150|50|100|5|5|3|2|100000
嗎|0|4|0|5|80|180|60|120|6|6|3|2|100000
嗎|0|5|0|6|80|210|70|140|7|7|4|2|100000
嗎|0|6|0|7|75|240|80|160|8|8|4|2|100000
嗎|0|7|0|8|75|270|90|180|9|9|5|2|200000
嗎|0|8|1|0|70|360|120|240|10|10|5|5|200000
嗎|1|0|1|1|70|420|140|280|11|11|6|5|200000
嗎|1|1|1|2|65|480|160|320|12|12|7|5|200000
嗎|1|2|1|3|65|540|180|360|13|13|8|5|200000
嗎|1|3|1|4|60|600|200|300|14|14|9|5|200000
嗎|1|4|1|5|60|660|220|440|15|15|10|5|200000
嗎|1|5|1|6|55|720|240|480|16|16|11|5|200000
嗎|1|6|1|7|55|780|260|520|17|17|12|5|200000
嗎|1|7|1|8|50|1140|380|760|18|18|13|5|200000
嗎|1|8|2|0|50|1320|440|880|20|20|14|10|500000
嗎|2|0|2|1|45|1410|470|940|22|22|15|10|500000
嗎|2|1|2|2|45|1500|500|1000|24|24|16|10|500000
嗎|2|2|2|3|40|1590|530|1060|26|26|17|10|500000
嗎|2|3|2|4|40|1680|560|1120|28|28|18|10|500000
嗎|2|4|2|5|35|1770|590|1180|30|30|19|10|500000
嗎|2|5|2|6|35|1860|620|1240|32|32|20|10|500000
嗎|2|6|2|7|30|1950|650|1300|34|34|21|10|500000
嗎|2|7|2|8|30|2040|680|1360|36|36|22|10|500000
嗎|2|8|3|0|25|2310|770|1540|38|38|23|30|750000
嗎|3|0|3|1|25|2430|810|1620|40|40|24|30|750000
嗎|3|1|3|2|20|2550|850|1700|42|42|25|30|750000
嗎|3|2|3|3|20|2670|890|1780|44|44|26|70|750000
嗎|3|3|3|4|15|2790|930|1860|46|46|27|70|750000
嗎|3|4|3|5|15|2910|970|1940|48|48|28|70|750000
嗎|3|5|3|6|10|3030|1010|2020|50|50|29|70|750000
嗎|3|6|3|7|10|3150|1050|2100|52|52|30|70|750000
嗎|3|7|3|8|10|3270|1090|2180|54|54|31|70|750000
嗎|3|8|4|0|10|3270|1090|2180|54|54|31|70|750000
