|5|176191206|177192207|178193208|174189204|175190205|181196211|178193208|174189204|175190205|181196211
|6|176191206|177192207|178193208|174189204|175190205|181196211|178193208|174189204|175190205|181196211
|22|176191206|177192207|178193208|179194209|180195210|176191206|177192207|178193208|179194209|180195210
|23|176191206|177192207|178193208|179194209|180195210|176191206|177192207|178193208|179194209|180195210
|81|176191206|177192207|178193208|179194209|180195210|176191206|177192207|178193208|179194209|180195210
|15|176191206|177192207|178193208|179194209|180195210|176191206|177192207|178193208|179194209|180195210
|58|176191206|177192207|178193208|179194209|180195210|176191206|177192207|178193208|179194209|180195210
|10|176191206|178193208|177192207|179194209|180195210|176191206|178193208|177192207|179194209|180195210
|11|176191206|178193208|177192207|179194209|180195210|176191206|178193208|177192207|179194209|180195210
|24|176191206|177192207|178193208|179194209|180195210|174189204|175190205|172187202|173188203|173188203
|26|176191206|177192207|178193208|179194209|180195210|174189204|175190205|172187202|173188203|173188203
|19|176191206|177192207|178193208|179194209|180195210|174189204|175190205|181196211|172187202|173188203
|20|176191206|177192207|178193208|179194209|180195210|174189204|175190205|181196211|172187202|173188203
|21|176191206|177192207|178193208|179194209|180195210|174189204|175190205|181196211|172187202|173188203
