0|5
0|6
0|22
0|23
0|24
0|26
1|5
1|6
1|22
1|23
1|24
1|26
2|5
2|6
2|22
2|23
2|24
2|26
3|15
3|58
3|81
3|10
3|11
3|19
3|20
3|21
4|15
4|58
4|81
4|10
4|11
4|19
4|20
4|21
5|15
5|58
5|81
5|10
5|11
5|19
5|20
5|21
6|5
6|6
6|22
6|23
6|24
6|26
7|5
7|6
7|22
7|23
7|24
7|26
8|5
8|6
8|22
8|23
8|24
8|26
9|5
9|6
9|22
9|23
9|24
9|26
10|5
10|6
10|22
10|23
10|24
10|26
11|15
11|58
11|81
11|10
11|11
11|19
11|20
11|21
12|15
12|58
12|81
12|10
12|11
12|19
12|20
12|21
13|15
13|58
13|81
13|10
13|11
13|19
13|20
13|21
14|15
14|58
14|81
14|10
14|11
14|19
14|20
14|21
15|15
15|58
15|81
15|10
15|11
15|19
15|20
15|21
16|5
16|6
16|22
16|23
16|24
16|26
17|15
17|58
17|81
17|10
17|11
17|19
17|20
17|21
18|15
18|58
18|81
18|10
18|11
18|19
18|20
18|21
19|15
19|58
19|81
19|10
19|11
19|19
19|20
19|21
